465,"SNOWDON","Naomi",65,1391,1,100
466,"SYED","Mustak",356,1391,1,110
467,"UZ-ZAMAN","Motin",148,1391,1,120
468,"BYRON","Naomi Ruth",NULL,1397,1,10
469,"CHOUDHURY","Kibria",356,1397,1,20
470,"CHOWDHURY","Kahar",148,1397,1,30
471,"MACMILLAN","Richard",153,1397,1,40
472,"MIGNANO","AnnaMaria",364,1397,1,50
473,"ROBINSON","James Philip",65,1397,1,60
474,"BEGUM","Monowara",153,1400,1,10
475,"ELLERBECK","Des",65,1400,1,20
476,"GUTTMANN","Katy",103,1400,1,30
477,"KHAN","Rabina",356,1400,1,40
478,"MIAH","Harun",356,1400,1,50
479,"RASHID","Mamun",148,1400,1,60
480,"STAFFORD","Daryl Martin",65,1400,1,70
481,"WILLIAMS","Rob",NULL,1400,1,80
482,"ZAMAN","Farhana",148,1400,1,90
483,"ABBAS","Helal Uddin",148,1404,1,10
484,"AHMED","Suluk",356,1404,1,20
485,"EMMERSON","Jane Elizabeth",65,1404,1,30
486,"FELL","David Nolan",65,1404,1,40
487,"KHAN","Tarik",148,1404,1,50
488,"NORTH","Ferdy",153,1404,1,60
489,"ROBBANI","Gulam",356,1404,1,70
490,"THORNTON","Zachary",103,1404,1,80
491,"TURVEY","Jason Edward",NULL,1404,1,90
492,"AHMED","Rofique",356,1408,1,10
493,"ALAM","Mahbub (Mamun)",356,1408,1,20
494,"BRYAN","Martin",364,1408,1,30
495,"CHOUDHURY","Abdul Munim - The Peace Party",331,1408,1,40
496,"CHOUDHURY","Koyes Uzzaman",153,1408,1,50
497,"CLARKE","Charles William Moncrieff",65,1408,1,60
498,"KILBY","Chris",103,1408,1,70
499,"MASCALL","Ben",65,1408,1,80
500,"MIAH","Ayas",148,1408,1,90
501,"ULLAH","Abdal",148,1408,1,100
502,"DENNISTON","John",153,1413,1,10
503,"DOCKERILL","Julia Louise",65,1413,1,20
504,"JONES","Denise",148,1413,1,30
505,"KING","Neil Anthony",65,1413,1,40
506,"MADEWELL","Stuart",356,1413,1,50
